Date,Price,Open,High,Low,Vol.,Change_Percent
9/1/1997,19.9,18.5,20.13,18.15,466.08K,7.51
10/1/1997,20.02,19.82,21.75,19.3,544.47K,0.6
11/1/1997,18.94,20.45,20.45,18.36,423.66K,-5.39
12/1/1997,16.52,18.44,18.48,16.5,371.75K,-12.78
1/1/1998,15.96,16.8,16.8,14.7,533.90K,-3.39
2/1/1998,14.17,15.95,15.95,13.73,490.41K,-11.22
3/1/1998,14.26,14.3,15.82,11.9,663.87K,0.64
4/1/1998,14.46,14.2,14.95,13.32,540.96K,1.4
5/1/1998,14.37,14.56,15.29,13.65,517.40K,-0.62
6/1/1998,13.38,14.21,14.76,12.15,633.20K,-6.89
7/1/1998,13.09,13.42,13.7,12.25,500.95K,-2.17
8/1/1998,12.56,13.06,13.06,11.55,484.55K,-4.05
9/1/1998,14.68,12.3,14.9,12.19,592.20K,16.88
10/1/1998,13.22,14.68,14.9,12.22,615.61K,-9.95
11/1/1998,10.46,13.32,13.44,10.08,580.95K,-20.88
12/1/1998,10.53,10.44,11.3,9.55,502.08K,0.67
1/1/1999,11.35,10.93,12.33,10.42,522.16K,7.79
2/1/1999,10.88,11.41,11.45,9.9,469.35K,-4.14
3/1/1999,15.24,10.93,15.28,10.63,679.41K,40.07
4/1/1999,16.57,14.7,16.68,14,554.69K,8.73
5/1/1999,15.2,16.7,17.09,14.91,594.22K,-8.27
6/1/1999,17.51,14.95,17.52,14.53,566.49K,15.2
7/1/1999,19.37,17.55,19.95,17.42,573.63K,10.62
8/1/1999,21.33,19.28,21.42,19.2,561.77K,10.12
9/1/1999,23.58,21.2,24.3,20.74,575.78K,10.55
10/1/1999,21.69,23.72,23.85,20.2,668.64K,-8.02
11/1/1999,23.64,21.85,25.9,21.74,608.48K,8.99
12/1/1999,25.08,24.25,26.15,23.2,488.57K,6.09
1/1/2000,25.97,23.9,27.11,23.04,644.18K,3.55
2/1/2000,28.09,26.1,28.78,25.73,616.54K,8.16
3/1/2000,24.77,28,31.95,24.25,672.62K,-11.82
4/1/2000,23.89,25,25.22,21.3,520.32K,-3.55
5/1/2000,28.31,24.1,29.52,24.05,605.29K,18.5
6/1/2000,30.57,28.4,31.7,27.58,660.73K,7.98
7/1/2000,26.93,30.65,31.25,26.65,658.69K,-11.91
8/1/2000,31.72,26.8,32.8,26.73,567.68K,17.79
9/1/2000,29.84,31.65,34.98,29.25,711.95K,-5.93
10/1/2000,30.76,30.2,35.3,29.42,564.92K,3.08
11/1/2000,31.88,31.1,34,30.32,545.14K,3.64
12/1/2000,23.87,31.88,32.32,22.9,505.16K,-25.13
1/1/2001,26.66,24.4,27.48,24.12,668.16K,11.69
2/1/2001,25.57,26.55,30.36,25.5,527.58K,-4.09
3/1/2001,24.74,25.7,27.25,23.75,620.29K,-3.25
4/1/2001,27.89,24.85,28.48,24.1,602.75K,12.73
5/1/2001,29.34,27.62,29.68,27.01,585.37K,5.2
6/1/2001,26.08,29.27,30,24.91,659.46K,-11.11
7/1/2001,24.69,26.3,26.9,23.97,647.02K,-5.33
8/1/2001,26.41,25.09,26.79,24.5,610.23K,6.97
